"","chromosome","genesymbol","position","clustersize"
"5488","chr1","RPL11",23704082,2
"5497","chr1","PITHD1",23788058,1
"5498","chr1","LYPLA2",23794563,1
"5499","chr1",NA,23825751,1
"5500","chr1","PNRC2",23961589,5
"5501","chr1","PNRC2",23963439,44
"5503","chr1","PNRC2",23962628,1
"5507","chr1","PNRC2",23962678,17
"5512","chr1","PNRC2",23962461,1
"5521","chr1","NIPAL3",24469255,2
"5522","chr1",NA,25004818,1
"5523","chr1",NA,25222927,1
"5524","chr1","TMEM50A",25360973,5
"5526","chr1","SDHDP7",25399997,239
"5527","chr1","SDHDP7",25399036,1
"5580","chr1","MAN1C1",25648826,1
"5581","chr1","MAN1C1",25784438,1
"5582","chr1","PDIK1L",26111260,1
"5583","chr1","PDIK1L",26112822,1
"5584","chr1","ZNF593",26177989,1
"5585","chr1","ZNF593",26170850,2
"5586","chr1","SH3BGRL3",26281162,2
"5587","chr1","SH3BGRL3",26280806,18
"5588","chr1","SH3BGRL3",26281507,41
"5590","chr1","SH3BGRL3",26280204,1
"5592","chr1","SH3BGRL3",26281336,5
"5599","chr1","SH3BGRL3",26281479,2
"5603","chr1","SH3BGRL3",26327985,4
"5604","chr1","SH3BGRL3",26280910,2
"5605","chr1","SH3BGRL3",26281417,4
"5611","chr1","CD52",26320466,278
"5620","chr1","CD52",26318066,5
"5628","chr1","CD52",26320212,43
"5649","chr1","CD52",26359479,7
"5666","chr1","CD52",26333029,2
"5691","chr1","CD52",26320345,1
"5716","chr1","CD52",26320313,6
"5793","chr1","DHDDS",26439377,1
"5794","chr1","HMGN2",26472608,11
"5796","chr1","HMGN2",26475915,161
"5798","chr1","HMGN2",26475203,213
"5836","chr1","HMGN2",26474136,2
"5840","chr1","HMGN2",26474648,13
"5850","chr1","HMGN2",26474597,7
"5866","chr1","HMGN2",26475667,1
"5867","chr1",NA,26503574,1
"5868","chr1","NUDC",26946375,3
"5869","chr1","RPL12P13",26980443,51
"5881","chr1","RPL18AP5",27177346,1
"5882","chr1","NPM1P39",27208722,25
"5883","chr1","NPM1P39",27207664,2
"5886","chr1",NA,27240996,11
"5893","chr1","LOC729973",27649775,1275
"5899","chr1","LOC729973",27649933,8
"5903","chr1","LOC729973",27649870,12
"6129","chr1","LOC729973",27649703,3
"6219","chr1","FAM76A",27761592,1
"6220","chr1","THEMIS2",27886661,1
"6221","chr1",NA,28173129,1
"6222","chr1","ATP5IF1",28238086,11
"6226","chr1","ATP5IF1",28238049,4
"6229","chr1","SESN2",28282480,1
"6230","chr1","MED18",28335978,4
"6231","chr1","SNHG3",28666176,1
"6232","chr1","SNHG3",28509649,28
"6233","chr1","SNHG3",28509326,2
"6234","chr1","SNHG3",28509610,13
"6235","chr1","TRNAU1AP",28577777,11
"6236","chr1","TRNAU1AP",28577740,14
"6240","chr1",NA,28621944,2
"6241","chr1","GMEB1",28714874,1
"6242","chr1","YTHDF2",28769163,5
"6245","chr1",NA,30739440,1
"6246","chr1","ZCCHC17",31364907,24
"6250","chr1","ZCCHC17",31364961,1
"6255","chr1","TXLNA",32184423,1
"6256","chr1","EIF3I",32231578,54
"6263","chr1","EIF3I",32261972,17
"6268","chr1","LCK",32286143,7
"6270","chr1","HDAC1",32326970,1
"6271","chr1","HDAC1",32302688,1
"6272","chr1","HDAC1",32398422,5
"6273","chr1","HDAC1",32332133,1
"6274","chr1",NA,32334338,2
"6275","chr1","RBBP4",32669269,1
"6276","chr1","ZNF362",33281809,1
"6277","chr1",NA,34981910,1
"6278","chr1","ZMYM1",35117666,1
"6279","chr1","EFCAB14P1",35122419,1
"6280","chr1",NA,35194298,1
"6281","chr1","ZMYM4",35351710,10
"6284","chr1","ZMYM4",35351669,1
"6285","chr1","AGO3",35976061,1
"6286","chr1","MAP7D1",36180836,6
"6288","chr1",NA,36340421,2
"6289","chr1",NA,37523009,3
"6290","chr1",NA,37556515,7883
"6291","chr1","RPS27P9",37556515,7883
"7482","chr1","RPS27P9",37563568,1
"7635","chr1","RPS27P9",37556380,4
"7676","chr1","RPS27P9",37556330,3
"8038","chr1","RPS27P9",37579215,1
"8277","chr1","CDCA8",37709707,7
"8278","chr1","CDCA8",37709578,7
"8283","chr1","UTP11",38023780,4
"8284","chr1","UTP11",38023610,1
"8285","chr1","HSPA5P1",38711265,18
"8288","chr1","NDUFS5",39034577,77
"8289","chr1","NDUFS5",39034628,52
"8293","chr1","NDUFS5",39056873,2
"8297","chr1","NDUFS5",39034671,25
"8306","chr1","MACF1",39237306,1
"8307","chr1","PPIE",39753722,3
"8308","chr1","PPIE",39753679,2
"8309","chr1","CAP1",40072580,1
"8310","chr1","CAP1",40072635,5
"8311","chr1","ZMPSTE24",40294164,2
"8312","chr1","SMAP2",40386802,1
"8313","chr1","ZNF684",40544666,1
"8314","chr1","NFYC",40771118,3
"8315","chr1","CTPS1",41011793,4
"8316","chr1","CCDC30",42460402,46
"8317","chr1","CCDC30",42459694,1
"8318","chr1","CCDC30",42460070,1
"8319","chr1","CCDC30",42460431,2
"8326","chr1","CCDC30",42460371,4
"8332","chr1","PPIH",42676795,18
"8333","chr1","PPIH",42664941,1
"8334","chr1","PPIH",42676743,7
"8335","chr1","YBX1",42702326,274
"8339","chr1","YBX1",42682557,1
"8380","chr1","C1orf50",42775920,1
"8381","chr1","CDC20",43363178,64
"8391","chr1","DPH2",43973355,2
"8393","chr1","ATP6V0B",43978274,6
"8394","chr1","ARMH1",44724840,2
"8395","chr1","ARMH1",44725465,1
"8396","chr1","ARMH1",44725161,6
"8401","chr1","KIF2C",44789281,9
"8403","chr1","RPS8",44778742,10604
"8408","chr1","RPS8",44778716,2483
"8424","chr1","RPS8",44811244,18
"8438","chr1","RPS8",44777762,2
"8448","chr1","RPS8",44778039,239
"8560","chr1","RPS8",44778621,3
"8668","chr1","RPS8",44812833,15
"8685","chr1","RPS8",44778655,27
"9436","chr1","RPS8",44778086,2
"9556","chr1","RPS8",44777649,7
"10049","chr1","RPS8",44789281,9
"10095","chr1","RPS8",44776119,8
"10164","chr1","RPS8",44778130,1
"10536","chr1","RPS8",44776726,6
"11459","chr1","RPS8",44786465,4
"11564","chr1","UROD",45015559,3
"11565","chr1","AKR1A1",45569928,1
"11566","chr1","AKR1A1",45570029,5
"11567","chr1","NASP",45618230,381
"11573","chr1","NASP",45617593,1
"11579","chr1","NASP",45606888,1
"11581","chr1","NASP",45615398,1
"11647","chr1","NASP",45618792,1
"11648","chr1","TMEM69",45694167,4
"11649","chr1","TMEM69",45694126,3
"11651","chr1","TMEM69",45694313,1
"11652","chr1","UQCRH",46316760,66
"11658","chr1","UQCRH",46316661,2
"11661","chr1","UQCRH",46316817,17
"11662","chr1","UQCRH",46316701,3
"11665","chr1","UQCRH",46316726,2
"11671","chr1","UQCRH",46316603,5
"11672","chr1","NSUN4",46368708,1
"11673","chr1","CMPK1",47377503,1
"11674","chr1","CMPK1",47378817,2
"11675","chr1","OSBPL9",51714071,1
"11676","chr1","OSBPL9",51786584,1
"11677","chr1",NA,52087167,94
"11678","chr1","BTF3L4",52087167,94
"11684","chr1","BTF3L4",52064884,2
"11693","chr1","PRPF38A",52417008,2
"11694","chr1","PRPF38A",52411159,1
"11695","chr1","GPX7",52608933,3
"11696","chr1","GPX7",52608909,1
"11697","chr1","NDUFS5P3",52709555,11
"11698","chr1",NA,52904735,1
"11699","chr1","LOC112268226",52920725,115
"11710","chr1","LOC112268226",52920675,1
"11716","chr1","SCP2",53051256,3
"11717","chr1","SCP2",53051018,6
"11718","chr1","SCP2",53051396,7
"11719","chr1","SCP2",53051595,6
"11722","chr1","LRP8-DT",53336239,3
"11723","chr1","LRRC42",53968154,4
"11724","chr1","TCEANC2",54100278,1
"11725","chr1","MRPL37",54212659,1
"11726","chr1",NA,54287203,8
"11727","chr1","HOOK1",59823171,1
"11728","chr1","EFCAB7",63535116,1
"11729","chr1","EFCAB7",63533667,1
"11730","chr1","RAVER2",64833511,1
"11731","chr1","AK4",65154732,5
"11733","chr1","LEPR",65427992,1
"11734","chr1","PDE4B",66284679,1
"11735","chr1","PDE4B",66372977,1
"11736","chr1","PDE4B",66374260,2
"11737","chr1","MIER1",66959741,1
"11738","chr1","IL12RB2",67332585,1
"11739","chr1","IL12RB2",67396993,1
"11740","chr1","IL12RB2",67397167,3
"11741","chr1",NA,67430366,1
"11742","chr1","SRSF11",70251989,1
"11743","chr1","SRSF11",70252019,7
"11744","chr1","ANKRD13C-DT",70368009,2
"11745","chr1","LOC105378797",72301902,25
"11750","chr1","RPL29P5",75582329,1
"11751","chr1","ACADM",75740052,1
"11752","chr1","RABGGTB",75794805,90
"11757","chr1","RABGGTB",75794833,27
"11759","chr1","TPI1P1",76700934,34
"11764","chr1","TPI1P1",76700787,29
"11765","chr1","TPI1P1",76700349,1
"11768","chr1","TPI1P1",76751662,2
"11771","chr1","TPI1P1",76700666,1
"11774","chr1","RPL17P6",77129736,10583
"11810","chr1","RPL17P6",77129634,1144
"11813","chr1","RPL17P6",77156093,98
"12375","chr1","RPL17P6",77129173,1
"12986","chr1","RPL17P6",77129271,18
"13655","chr1","RPL17P6",77329222,7
"13660","chr1","GIPC2",78092185,2
"13662","chr1","IFI44L",78628332,1
"13663","chr1","IFI44L",78628135,1
"13664","chr1","RPL10AP4",81209259,18
"13666","chr1","RPF1",84497657,47
"13669","chr1","RPF1",84497575,1
"13673","chr1",NA,84501937,1
"13674","chr1","BCL10-AS1",85286513,1
"13675","chr1",NA,86372211,1
"13676","chr1","RPL17P5",86785446,560
"13704","chr1","RPL17P5",86828965,5
"13705","chr1","RPL17P5",86785361,2
"13731","chr1","RPL17P5",86785070,18
"13757","chr1","LOC107985076",89206351,5
"13759","chr1","LOC107985076",89252111,1
"13761","chr1","LOC100421401",89262394,1
"13762","chr1","LOC100421401",89265746,1
"13763","chr1","LOC100421401",89279568,3
"13765","chr1","GBP6",89386459,1
"13766","chr1","GBP1P1",89410816,5
"13767","chr1","GBP1P1",89424010,1
"13768","chr1","FEN1P1",91330284,3
"13769","chr1","RPL39P13",91600236,1
"13770","chr1","RPL39P13",91600522,9
"13773","chr1","HSP90B3P",91644357,1
"13774","chr1","RPAP2",92349790,1
"13775","chr1","RPL5",92841905,132
"13776","chr1","RPL5",92833419,4
"13778","chr1","RPL5",92837566,5
"13784","chr1","RPL5",92840641,14
"13788","chr1","RPL5",92852518,6
"13790","chr1","RPL5",92834867,8
"13795","chr1","RPL5",92851569,19
"13797","chr1","RPL5",92833623,1
"13803","chr1","RPL5",92996909,1
"13807","chr1","RPL5",92841856,9
"13808","chr1","RPL5",92833590,5
"13812","chr1","RPL5",92837634,5
"13817","chr1","MTF2",93137566,3
"13818","chr1",NA,93139738,1
"13819","chr1","EEF1A1P11",96448631,16602
"13961","chr1","EEF1A1P11",96447062,34
"14170","chr1","EEF1A1P11",96448487,128
"14260","chr1","EEF1A1P11",96447318,2
"14471","chr1","EEF1A1P11",96447466,6
"14779","chr1","EEF1A1P11",96448000,6
"14843","chr1","EEF1A1P11",96448312,16
"15450","chr1","EEF1A1P11",96448165,4
"15576","chr1","EEF1A1P11",96490516,17
"15633","chr1","EEF1A1P11",96451431,1
"15703","chr1","EEF1A1P11",96447873,3
"15827","chr1","EEF1A1P11",96460011,1
"17865","chr1",NA,96679466,1
"17866","chr1",NA,96679638,1
"17867","chr1","PTBP2",96814584,1
"17868","chr1","PLPPR5-AS1",99008523,1
"17869","chr1","MFSD14A",100083362,2
"17870","chr1","TRMT13",100148964,1
"17871","chr1","CDC14A",100442071,1
"17872","chr1","SLC30A7",100975339,1
"17873","chr1",NA,101010470,1
"17874","chr1",NA,101112856,2
"17876","chr1",NA,101179776,2
"17877","chr1","S1PR1",101241285,1
"17878","chr1",NA,102411038,2
"17879","chr1","AMY2B",103571372,1
"17880","chr1","AMY2A",103617208,1
"17881","chr1","NDUFA4P1",107505649,2355
"17894","chr1","NDUFA4P1",107505599,60
"18359","chr1","GPSM2",108928902,1
"18360","chr1","GPSM2",108932920,1
"18361","chr1","RPL17P7",108992798,584
"18378","chr1","RPL17P7",108992439,18
"18410","chr1","RPL17P7",108992894,2
"18441","chr1","RPL17P7",109026985,3
"18461","chr1","RPS27P6",109030360,295
"18470","chr1","RPS27P6",109041022,2
"18541","chr1","SARS1",109238145,6
"18542","chr1","SARS1",109230898,2
"18543","chr1","SARS1",109238105,5
"18544","chr1","SARS1",109214816,1
"18545","chr1","SARS1",109237847,1
"18546","chr1","GNAI3",109593532,4
"18547","chr1","GNAI3",109593333,1
"18548","chr1","GNAI3",109592111,1
"18549","chr1","GNAI3",109594355,1
"18550","chr1","RPL7P8",109652175,37
"18557","chr1","GSTM2",109675282,43
"18565","chr1","CSF1",109930974,1
"18566","chr1",NA,110637040,2
"18567","chr1","CD53",110899907,395
"18570","chr1","CD53",110873230,1
"18653","chr1","CD53",110899708,6
"18679","chr1",NA,110902179,1
"18680","chr1","CEPT1",111147708,3
"18681","chr1","CEPT1",111185090,2
"18683","chr1","HIGD1AP12",111380681,3
"18684","chr1","ATP5PB",111461391,2
"18685","chr1","C1orf162",111477008,2
"18687","chr1","C1orf162",111478123,3
"18688","chr1","C1orf162",111478498,2
"18689","chr1","C1orf162",111476868,2
"18691","chr1","RAP1A",111712726,2
"18693","chr1","DDX20",111762800,1
"18694","chr1","CAPZA1",112671588,5
"18695","chr1","CAPZA1",112670353,4
"18696","chr1","CAPZA1",112654526,1
"18698","chr1","RPS19P2",113169471,9
"18701","chr1","RPS15P1",113199303,4
"18702","chr1","MAGI3",113451109,235
"18708","chr1","MAGI3",113450547,1
"18712","chr1","MAGI3",113450336,3
"18719","chr1","MAGI3",113450264,1
"18746","chr1",NA,113903790,1
"18747","chr1","DCLRE1B",113905536,1
"18748","chr1","VANGL1",115693051,1
"18749","chr1","VANGL1",115693004,2
"18750","chr1","CD2",116754556,1
"18751","chr1","CD2",116768805,292
"18760","chr1","CD2",116769208,18
"18766","chr1","CD2",116771685,6
"18770","chr1","CD2",116760569,8
"18772","chr1","CD2",116754796,2
"18775","chr1","CD2",116754734,1
"18790","chr1","CD2",116754917,5
"18823","chr1",NA,116770248,1
"18824","chr1","TTF2",117076402,1
"18825","chr1","PHGDH",119744200,6
"18827","chr1","PHGDH",119727685,2
"18828","chr1","PHGDH",119742837,1
"18830","chr1","LOC101929178",120076653,1
"18831","chr1","LOC124904391",120342645,2
"18832","chr1","LOC101929788",120412836,1
"18833","chr1","LOC101929788",120411871,3
"18834","chr1","NBPF8",120467737,9
"18839","chr1","LOC107985524",120561268,2
"18840","chr1",NA,120609567,1
"18841","chr1",NA,120631048,7
"18842","chr1",NA,120845488,48
"18865","chr1","LOC124904393",120890547,2
"18866","chr1","LOC124904393",120912526,89
"18871","chr1","LOC124904393",120953442,70
"18898","chr1","LINC00623",120953442,70
"18901","chr1","LINC00623",121013925,23
"18923","chr1",NA,121013925,23
"18926","chr1","FCGR1BP",121096306,2
"18927","chr1",NA,121130299,1
"18928","chr1","SRGAP2C",121269047,1
"18929","chr1","EMBP1",121571892,5
"18932","chr1","PFN1P12",143620777,2
"18933","chr1","LINC02591",143797113,3
"18936","chr1",NA,143917929,1
"18937","chr1","PFN1P6",144443255,4
"18939","chr1",NA,144568734,35
"18957","chr1","LSP1P5",144758915,2
"18958","chr1","LSP1P5",144758278,36
"18960","chr1","LSP1P5",144739336,19
"18964","chr1","LSP1P5",144741467,1
"18965","chr1","FAM72D",145112695,3
"18966","chr1","FAM72D",145112618,16
"18967","chr1","LOC100996740",145215770,1
"18968","chr1","LOC100996740",145215747,10
"18970","chr1","LOC100996740",145216582,1
"18973","chr1","PFN1P3",145408420,3
"18974","chr1",NA,145569577,1
"18975","chr1","GPR89A",145670466,20
"18978","chr1","POLR3C",145842505,7
"18979","chr1","POLR3C",145824545,1
"18980","chr1","POLR3C",145841006,2
"18981","chr1",NA,146061949,1
"18982","chr1","LOC105371254",146236005,1
"18983","chr1","NUDT4P2",146300946,3
"18985","chr1","NUDT4P2",146301620,10
"18987","chr1","LOC124904613",146376972,3
"18988","chr1","LOC100996756",146388086,20
"18991","chr1",NA,146467148,3
"18992","chr1","NBPF12",146996094,5
"18994","chr1","CHD1L",147179948,3
"18995","chr1","CHD1L",147179815,2
"18996","chr1","GPR89B",147993343,20
"18999","chr1",NA,148099289,1
"19000","chr1","PFN1P4",148130145,3
"19001","chr1","ABHD17AP1",148149803,12
"19002","chr1","ABHD17AP1",148146256,1
"19003","chr1","RNVU1-22",148264255,1
"19004","chr1","LINC02806",148279571,1
"19005","chr1","LINC02806",148297551,1
"19006","chr1","PDE4DIPP6",148422489,1
"19007","chr1",NA,148459733,1
"19008","chr1",NA,148459710,9
"19010","chr1",NA,148460548,1
"19013","chr1","LOC105371223",148686747,1
"19014","chr1","LOC105371223",148688547,3
"19015","chr1","NUDT4B",148751729,3
"19017","chr1",NA,149051274,1
"19018","chr1",NA,149175325,84
"19036","chr1",NA,149251064,111
"19057","chr1",NA,149176165,1
"19062","chr1",NA,149262411,10
"19071","chr1",NA,149229571,1
"19072","chr1","SEC22B2P",149358661,19
"19073","chr1","SEC22B2P",149358721,15
"19075","chr1","SEC22B2P",149358301,27
"19081","chr1","SEC22B2P",149359457,14
"19082","chr1","SEC22B2P",149357644,1
"19092","chr1","NBPF19",149556254,7
"19094","chr1",NA,149559642,41
"19114","chr1","LOC124904410",149630590,1
"19115","chr1","LOC124904410",149647603,70
"19116","chr1","LOC124904410",149606607,23
"19125","chr1","LINC00869",149647603,70
"19132","chr1","LINC00869",149662970,1
"19140","chr1",NA,149825359,1
"19141","chr1","H4C14",149833741,8
"19142","chr1","H4C14",149834472,1
"19143","chr1",NA,149833741,8
"19144","chr1",NA,149834632,2
"19145","chr1","H2AC19",149851623,60
"19158","chr1","H3C15",149852721,1
"19159","chr1",NA,149862506,2
"19160","chr1","VPS45",150068845,1
"19161","chr1","MRPS21",150308399,1
"19162","chr1","MRPS21",150319553,1
"19163","chr1","MRPS21",150308366,3
"19164","chr1","MRPS21",150308335,23
"19165","chr1","MRPS21",150309786,1
"19166","chr1","RPRD2",150474348,1
"19167","chr1","TNFAIP8L2-SCNM1",151169121,16
"19172","chr1","PSMD4",151267465,23
"19175","chr1","PSMD4",151264874,1
"19176","chr1","PSMD4",151267438,2
"19177","chr1","PSMB4",151401917,10
"19178","chr1","PSMB4",151401631,3
"19180","chr1","PSMB4",151401954,1
"19182","chr1","TUFT1",151557802,1
"19183","chr1",NA,151759867,1
"19184","chr1",NA,151907540,3
"19186","chr1","HMGN3P1",152399795,7
"19188","chr1","S100A9",153360672,9
"19190","chr1","S100A9",153360774,5
"19194","chr1","CHTOP",153645572,1
"19195","chr1","INTS3",153728458,1
"19196","chr1",NA,153951478,1
"19197","chr1",NA,153951621,1
"19198","chr1","CREB3L4",153968381,1
"19199","chr1","RPS27",153992111,1623
"19201","chr1","RPS27",154013026,45
"19209","chr1","RPS27",153991657,148
"19230","chr1","RPS27",154041680,5
"19325","chr1","RPS27",153995999,86
"19345","chr1","RPS27",154053060,1
"19371","chr1","RPS27",153992329,5
"19389","chr1","RPS27",154036778,1
"19547","chr1","RPS27",153991584,4
"19548","chr1","RPS27",153991178,9
"19701","chr1","RPS27",154045823,1
"19702","chr1","RPS27",154017306,4
"19711","chr1","RPL34P5",153995999,86
"19714","chr1","RPL34P5",153995843,3
"19718","chr1","RPL34P5",153995766,3
"19733","chr1","RPL34P5",153995733,4
"19734","chr1","HAX1",154275862,26
"19737","chr1","HAX1",154275821,4
"19739","chr1","CKS1B",154979225,865
"19777","chr1","CKS1B",154978912,34
"19844","chr1","CKS1B",154995814,7
"19924","chr1","CKS1B",154978761,1
"19941","chr1","CKS1B",154980826,1
"19943","chr1","ADAM15-EFNA4",155069539,12
"19947","chr1","TRIM46",155184969,4
"19949","chr1","MTX1",155213826,97
"19953","chr1","MTX1",155234455,9
"19963","chr1",NA,155234455,9
"19964","chr1","MTX1LP",155234455,9
"19965","chr1","FDPS",155320621,7
"19967","chr1","MSTO1",155614325,13
"19969","chr1",NA,155659682,1
"19970","chr1","DAP3",155689175,1
"19971","chr1","MSTO2P",155750189,13
"19973","chr1","LAMTOR2",156058493,13
"19977","chr1",NA,156468067,1
"19978","chr1","NAXE",156594175,1
"19979","chr1","NAXE",156594118,4
"19980","chr1","METTL25B",156736961,2
"19981","chr1","SONP1",157711493,7
"19984","chr1","MRPS21P2",157910028,1
"19985","chr1","PYHIN1",158977055,3
"19987","chr1","IFI16",159010141,1
"19988","chr1","IFI16",159032599,1
"19989","chr1","IFI16",159055138,5
"19990","chr1","DUSP23",159782527,3
"19991","chr1",NA,159918632,2
"19992","chr1",NA,159920500,1
"19993","chr1","SUMO1P3",160318350,123
"19995","chr1","SUMO1P3",160318482,48
